TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 1
Start Date:,06/13/2022
Start Time:,09:04:06
Duration (dd:hh:mm:ss):,00:00:14:57
Log Interval (mm:ss):,00:01
Number of points:,897
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.058
,Minimum:,0.044
,Time of Minimum:,09:12:01
,Date of Minimum:,06/13/2022
,Maximum:,0.104
,Time of Maximum:,09:17:17
,Date of Maximum:,06/13/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/13/2022
06/13/2022,09:09:30,0.050
06/13/2022,09:09:31,0.056
06/13/2022,09:09:32,0.094
06/13/2022,09:09:33,0.055
06/13/2022,09:09:34,0.061
06/13/2022,09:09:35,0.055
06/13/2022,09:09:36,0.060
06/13/2022,09:09:37,0.056
06/13/2022,09:09:38,0.057
06/13/2022,09:09:39,0.048
06/13/2022,09:09:40,0.053
06/13/2022,09:09:41,0.053
06/13/2022,09:09:42,0.055
06/13/2022,09:09:43,0.058
06/13/2022,09:09:44,0.049
06/13/2022,09:09:45,0.051
06/13/2022,09:09:46,0.052
06/13/2022,09:09:47,0.049
06/13/2022,09:09:48,0.056
06/13/2022,09:09:49,0.069
06/13/2022,09:09:50,0.054
06/13/2022,09:09:51,0.056
06/13/2022,09:09:52,0.056
06/13/2022,09:09:53,0.057
06/13/2022,09:09:54,0.058
06/13/2022,09:09:55,0.053
06/13/2022,09:09:56,0.046
06/13/2022,09:09:57,0.061
06/13/2022,09:09:58,0.053
06/13/2022,09:09:59,0.055
06/13/2022,09:10:00,0.055
06/13/2022,09:10:01,0.055
06/13/2022,09:10:02,0.056
06/13/2022,09:10:03,0.061
06/13/2022,09:10:04,0.056
06/13/2022,09:10:05,0.056
06/13/2022,09:10:06,0.061
06/13/2022,09:10:07,0.051
06/13/2022,09:10:08,0.058
06/13/2022,09:10:09,0.057
06/13/2022,09:10:10,0.049
06/13/2022,09:10:11,0.063
06/13/2022,09:10:12,0.066
06/13/2022,09:10:13,0.056
06/13/2022,09:10:14,0.052
06/13/2022,09:10:15,0.055
06/13/2022,09:10:16,0.058
06/13/2022,09:10:17,0.065
06/13/2022,09:10:18,0.053
06/13/2022,09:10:19,0.051
06/13/2022,09:10:20,0.054
06/13/2022,09:10:21,0.058
06/13/2022,09:10:22,0.056
06/13/2022,09:10:23,0.079
06/13/2022,09:10:24,0.057
06/13/2022,09:10:25,0.064
06/13/2022,09:10:26,0.081
06/13/2022,09:10:27,0.076
06/13/2022,09:10:28,0.084
06/13/2022,09:10:29,0.082
06/13/2022,09:10:30,0.067
06/13/2022,09:10:31,0.061
06/13/2022,09:10:32,0.064
06/13/2022,09:10:33,0.059
06/13/2022,09:10:34,0.063
06/13/2022,09:10:35,0.058
06/13/2022,09:10:36,0.063
06/13/2022,09:10:37,0.056
06/13/2022,09:10:38,0.056
06/13/2022,09:10:39,0.058
06/13/2022,09:10:40,0.049
06/13/2022,09:10:41,0.055
06/13/2022,09:10:42,0.057
06/13/2022,09:10:43,0.057
06/13/2022,09:10:44,0.060
06/13/2022,09:10:45,0.062
06/13/2022,09:10:46,0.057
06/13/2022,09:10:47,0.053
06/13/2022,09:10:48,0.069
06/13/2022,09:10:49,0.056
06/13/2022,09:10:50,0.063
06/13/2022,09:10:51,0.054
06/13/2022,09:10:52,0.055
06/13/2022,09:10:53,0.065
06/13/2022,09:10:54,0.051
06/13/2022,09:10:55,0.060
06/13/2022,09:10:56,0.056
06/13/2022,09:10:57,0.051
06/13/2022,09:10:58,0.062
06/13/2022,09:10:59,0.054
06/13/2022,09:11:00,0.067
06/13/2022,09:11:01,0.063
06/13/2022,09:11:02,0.054
06/13/2022,09:11:03,0.055
06/13/2022,09:11:04,0.058
06/13/2022,09:11:05,0.059
06/13/2022,09:11:06,0.061
06/13/2022,09:11:07,0.054
06/13/2022,09:11:08,0.065
06/13/2022,09:11:09,0.063
06/13/2022,09:11:10,0.061
06/13/2022,09:11:11,0.048
06/13/2022,09:11:12,0.055
06/13/2022,09:11:13,0.063
06/13/2022,09:11:14,0.060
06/13/2022,09:11:15,0.053
06/13/2022,09:11:16,0.063
06/13/2022,09:11:17,0.056
06/13/2022,09:11:18,0.053
06/13/2022,09:11:19,0.055
06/13/2022,09:11:20,0.055
06/13/2022,09:11:21,0.057
06/13/2022,09:11:22,0.055
06/13/2022,09:11:23,0.052
06/13/2022,09:11:24,0.060
06/13/2022,09:11:25,0.060
06/13/2022,09:11:26,0.056
06/13/2022,09:11:27,0.058
06/13/2022,09:11:28,0.058
06/13/2022,09:11:29,0.061
06/13/2022,09:11:30,0.056
06/13/2022,09:11:31,0.064
06/13/2022,09:11:32,0.054
06/13/2022,09:11:33,0.060
06/13/2022,09:11:34,0.053
06/13/2022,09:11:35,0.074
06/13/2022,09:11:36,0.063
06/13/2022,09:11:37,0.053
06/13/2022,09:11:38,0.062
06/13/2022,09:11:39,0.053
06/13/2022,09:11:40,0.048
06/13/2022,09:11:41,0.054
06/13/2022,09:11:42,0.056
06/13/2022,09:11:43,0.064
06/13/2022,09:11:44,0.052
06/13/2022,09:11:45,0.054
06/13/2022,09:11:46,0.076
06/13/2022,09:11:47,0.061
06/13/2022,09:11:48,0.054
06/13/2022,09:11:49,0.050
06/13/2022,09:11:50,0.053
06/13/2022,09:11:51,0.053
06/13/2022,09:11:52,0.056
06/13/2022,09:11:53,0.055
06/13/2022,09:11:54,0.066
06/13/2022,09:11:55,0.058
06/13/2022,09:11:56,0.068
06/13/2022,09:11:57,0.060
06/13/2022,09:11:58,0.054
06/13/2022,09:11:59,0.056
06/13/2022,09:12:00,0.051
06/13/2022,09:12:01,0.044
06/13/2022,09:12:02,0.060
06/13/2022,09:12:03,0.055
06/13/2022,09:12:04,0.065
06/13/2022,09:12:05,0.051
06/13/2022,09:12:06,0.062
06/13/2022,09:12:07,0.052
06/13/2022,09:12:08,0.054
06/13/2022,09:12:09,0.055
06/13/2022,09:12:10,0.057
06/13/2022,09:12:11,0.065
06/13/2022,09:12:12,0.061
06/13/2022,09:12:13,0.060
06/13/2022,09:12:14,0.068
06/13/2022,09:12:15,0.056
06/13/2022,09:12:16,0.054
06/13/2022,09:12:17,0.051
06/13/2022,09:12:18,0.069
06/13/2022,09:12:19,0.057
06/13/2022,09:12:20,0.068
06/13/2022,09:12:21,0.055
06/13/2022,09:12:22,0.060
06/13/2022,09:12:23,0.076
06/13/2022,09:12:24,0.056
06/13/2022,09:12:25,0.054
06/13/2022,09:12:26,0.056
06/13/2022,09:12:27,0.059
06/13/2022,09:12:28,0.058
06/13/2022,09:12:29,0.055
06/13/2022,09:12:30,0.058
06/13/2022,09:12:31,0.056
06/13/2022,09:12:32,0.054
06/13/2022,09:12:33,0.057
06/13/2022,09:12:34,0.057
06/13/2022,09:12:35,0.065
06/13/2022,09:12:36,0.060
06/13/2022,09:12:37,0.053
06/13/2022,09:12:38,0.051
06/13/2022,09:12:39,0.049
06/13/2022,09:12:40,0.057
06/13/2022,09:12:41,0.056
06/13/2022,09:12:42,0.052
06/13/2022,09:12:43,0.061
06/13/2022,09:12:44,0.060
06/13/2022,09:12:45,0.051
06/13/2022,09:12:46,0.050
06/13/2022,09:12:47,0.056
06/13/2022,09:12:48,0.050
06/13/2022,09:12:49,0.057
06/13/2022,09:12:50,0.062
06/13/2022,09:12:51,0.053
06/13/2022,09:12:52,0.056
06/13/2022,09:12:53,0.051
